Наименование;Остаток;КодТовара;Артикул;Производитель;Тип;Описание;Цена;ШтрихКод;Упаковка;СрокГодности;Марка;ТоварнаяКатегория;Товар;РейтингПродаж;Категория;ABV;IBU;Plato;СтильПива;UntappdRef;EBC;id_объекта
Ортодокс & Rewort Brewery “Бар Свои” (Lager - IPL) алк. 5,0% /ЛАГЕР 11, ж/б 0,45 л;367;00-00021137;БАР СВОИ (ж/б 0,45л);ОРТОДОКС;Товар;;222;4670161154810;кор. 12х0,45л ж/б;365;Бар Свои;Бар Свои;Ортодокс & Rewort Brewery “Бар Свои” (Lager - IPL) алк. 5,0% /ЛАГЕР 11, ж/б 0,45 л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Ортодокс ж>б;5;;;Lager;6440571;;2bb22503-c3c4-11f0-9bb2-000c296fac54
Ортодокс & Rewort Brewery “Бар Свои” (Lager - IPL) алк. 5,0% /ЛАГЕР 11, ж/б 0,45 л;367;00-00021137;БАР СВОИ (ж/б 0,45л);ОРТОДОКС;Товар;;222;4670161159631;кор. 12х0,45л ж/б;365;Бар Свои;Бар Свои;Ортодокс & Rewort Brewery “Бар Свои” (Lager - IPL) алк. 5,0% /ЛАГЕР 11, ж/б 0,45 л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Ортодокс ж>б;5;;;Lager;6440571;;2bb22503-c3c4-11f0-9bb2-000c296fac54
Mister Bee "Lemon" (Мистер БИ "Лимон") (Mead) алк. 5% / Мистер БИ, бут 0,45л;63;00-00021211;MISTER BEE LEMON (ЛИМОН) (бут 0,45л);Cider House;Товар;;0;;кор. 12х0,45л ст бут.;730;Mister Bee Lemon;Mister Bee Lemon;Mister Bee "Lemon" (Мистер БИ "Лимон") (Mead) алк. 5% / Мистер БИ, бут 0,45л;;Алкогольная продукция>Cider House>Mister Bee бут;5;;;Mead;6446936;;6f83126e-c9cd-11f0-9bb2-000c296fac54
Plan B "Hand of Doom" (Black IPA) алк. 7% / План Б темное-16, ж/б. 0,45л;36;00-00021252;HAND OF DOOM (ж/б 0,45 л);Plan B;Товар;;306;4650139081157;кор. 12х0,45л ж/б;180;Hand of Doom;Hand of Doom;Plan B "Hand of Doom" (Black IPA) алк. 7% / План Б темное-16, ж/б. 0,45л;;Алкогольная продукция>Plan B Brewery>Plan B ж>б;7;50;;Black IPA;-;;b1ecdeda-cc46-11f0-9bb2-000c296fac54
Rewort Brewery "California Dreaming" (Sour - Smoothie / Pastry) алк. 5,5% / СМУЗИ 26, ж/б 0,45л;883;00-00021303;CALIFORNIA DREAMING (ж/б 0,45л);Rewort;Товар;;285;4630522440563;кор. 12х0,45л ж/б;365;California Dreaming;California Dreaming;Rewort Brewery "California Dreaming" (Sour - Smoothie / Pastry) алк. 5,5% / СМУЗИ 26, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;5,50;10;20;Sour - Smoothie / Pastry;6488313;30;90380661-d052-11f0-9bb2-000c296fac54
Rewort Brewery "California Dreaming" (Sour - Smoothie / Pastry) алк. 5,5% / СМУЗИ 26, ж/б 0,45л;883;00-00021303;CALIFORNIA DREAMING (ж/б 0,45л);Rewort;Товар;;285;4670161159341;кор. 12х0,45л ж/б;365;California Dreaming;California Dreaming;Rewort Brewery "California Dreaming" (Sour - Smoothie / Pastry) алк. 5,5% / СМУЗИ 26, ж/б 0,45л;Новинка!;Алкогольная продукция>SVOI (Сергиев Посад)>Rewort ж>б;5,50;10;20;Sour - Smoothie / Pastry;6488313;30;90380661-d052-11f0-9bb2-000c296fac54
Ostrovica "Easy Hops" (Non-Alcoholic IPA) / Островица Хопс Зеро, ж/б 0,45л;90;00-00018750;EASY HOPS (ж/б 0,45л);Ostrovica Brewery;Товар;;289;4640205264638;кор. 12х0,45л ж/б;360;Easy Hops;Easy Hops;Ostrovica "Easy Hops" (Non-Alcoholic IPA) / Островица Хопс Зеро, ж/б 0,45л;;Алкогольная продукция>Ostrovica (Аша)>Ostrovica б>а;0,50;;;Non-Alcoholic IPA;6046780;;e89b6776-146b-11f0-822e-000c29bc6f5e
Ostrovica "Easy Hops" (Non-Alcoholic IPA) / Островица Хопс Зеро, ж/б 0,45л;90;00-00018750;EASY HOPS (ж/б 0,45л);Ostrovica Brewery;Товар;;289;4640205264959;кор. 12х0,45л ж/б;360;Easy Hops;Easy Hops;Ostrovica "Easy Hops" (Non-Alcoholic IPA) / Островица Хопс Зеро, ж/б 0,45л;;Алкогольная продукция>Ostrovica (Аша)>Ostrovica б>а;0,50;;;Non-Alcoholic IPA;6046780;;e89b6776-146b-11f0-822e-000c29bc6f5e
Paradox “Jungle Spirit" (Fruited Sour Ale) алк. 6% / Парадокс Джангл Спирит, ж/б 0,45л;6;00-00018829;JUNGLE SPIRIT (ж/б 0,45л);Paradox Brewery;Товар;;340;4610359540483;кор. 12х0,45л ж/б;365;Jungle Spirit;Jungle Spirit;Paradox “Jungle Spirit" (Fruited Sour Ale) алк. 6% / Парадокс Джангл Спирит, ж/б 0,45л;;Алкогольная продукция>Paradox Brewery>Paradox Brewery стекло, ж>б;6;;;Fruited Sour Ale;5353277;;36e4b6f4-19cb-11f0-9ba9-000c296fac54
Salden's "Tomato Gose Indian Edition" (Gose) алк, 5,0% / Томатный Гозе Индия, жб. 0,45л;33;00-00018939;TOMATO GOSE INDIAN EDITION (жб. 0,45л);Salden's;Товар;;296;4620085785423;кор. 20х0,45л ж/б;180;Tomato Gose Indian Edition;Tomato Gose Indian Edition;Salden's "Tomato Gose Indian Edition" (Gose) алк, 5,0% / Томатный Гозе Индия, жб. 0,45л;;Алкогольная продукция>Saldens>Salden's ж>б;5;;;Tomato Gose;4823787;;0c9c6458-1f69-11f0-9baa-000c296fac54
